id,league,date,local_team,away_team,local_score,away_score,league_date,is_playoff,stadium,referee,Dia,Hora,Sede,Local,Visitante,Grupo,Description,Local Time,,,,
1,Mundial Brasil 2014,2014-06-12 17:00:00,BRA,CRO,,,1,0,Sao Paulo,,12-Jun,17:00,Sao Paulo,Brasil,Croacia,A,,2014-06-12 17:00:00,,,,Err:502
2,Mundial Brasil 2014,2014-06-13 13:00:00,MEX,CMR,,,1,0,Natal,,13-Jun,13:00,Natal,México,Camerún,A,,2014-06-13 13:00:00,,,,
3,Mundial Brasil 2014,2014-06-17 16:00:00,BRA,MEX,,,2,0,Fortaleza,,17-Jun,16:00,Fortaleza,Brasil,México,A,,2014-06-17 16:00:00,,,,
4,Mundial Brasil 2014,2014-06-18 18:00:00,CMR,CRO,,,2,0,Manaos,,18-Jun,18:00,Manaos,Camerún,Croacia,A,,2014-06-18 18:00:00,,,,
5,Mundial Brasil 2014,2014-06-23 17:00:00,CMR,BRA,,,3,0,Brasilia,,23-Jun,17:00,Brasilia,Camerún,Brasil,A,,2014-06-23 17:00:00,,,,
6,Mundial Brasil 2014,2014-06-23 17:00:00,CRO,MEX,,,3,0,Recife,,23-Jun,17:00,Recife,Croacia,México,A,,2014-06-23 17:00:00,,,,
7,Mundial Brasil 2014,2014-06-13 16:00:00,ESP,NED,,,1,0,Salvador,,13-Jun,16:00,Salvador,España,Holanda,B,,2014-06-13 16:00:00,,,,
8,Mundial Brasil 2014,2014-06-13 19:00:00,CHI,AUS,,,1,0,Cuiaba,,13-Jun,19:00,Cuiaba,Chile,Australia,B,,2014-06-13 19:00:00,,,,
9,Mundial Brasil 2014,2014-06-18 16:00:00,ESP,CHI,,,2,0,Rio de Janeiro,,18-Jun,16:00,Rio de Janeiro,España,Chile,B,,2014-06-18 16:00:00,,,,
10,Mundial Brasil 2014,2014-06-18 13:00:00,AUS,NED,,,2,0,Porto Alegre,,18-Jun,13:00,Porto Alegre,Australia,Holanda,B,,2014-06-18 13:00:00,,,,
11,Mundial Brasil 2014,2014-06-23 13:00:00,AUS,ESP,,,3,0,Curitiba,,23-Jun,13:00,Curitiba,Australia,España,B,,2014-06-23 13:00:00,,,,
12,Mundial Brasil 2014,2014-06-23 13:00:00,NED,CHI,,,3,0,Belo Horizonte,,23-Jun,13:00,Belo Horizonte,Holanda,Chile,B,,2014-06-23 13:00:00,,,,
13,Mundial Brasil 2014,2014-06-14 13:00:00,COL,GRE,,,1,0,Belo Horizonte,,14-Jun,13:00,Belo Horizonte,Colombia,Grecia,C,,2014-06-14 13:00:00,,,,
14,Mundial Brasil 2014,2014-06-14 22:00:00,CIV,JAP,,,1,0,Recife,,14-Jun,22:00,Recife,Costa de Marfil,Japón,C,,2014-06-14 22:00:00,,,,
15,Mundial Brasil 2014,2014-06-19 13:00:00,COL,CIV,,,2,0,Brasilia,,19-Jun,13:00,Brasilia,Colombia,Costa de Marfil,C,,2014-06-19 13:00:00,,,,
16,Mundial Brasil 2014,2014-06-19 19:00:00,JAP,GRE,,,2,0,Natal,,19-Jun,19:00,Natal,Japón,Grecia,C,,2014-06-19 19:00:00,,,,
17,Mundial Brasil 2014,2014-06-24 17:00:00,JAP,COL,,,3,0,Cuiaba,,24-Jun,17:00,Cuiaba,Japón,Colombia,C,,2014-06-24 17:00:00,,,,
18,Mundial Brasil 2014,2014-06-24 17:00:00,GRE,CIV,,,3,0,Fortaleza,,24-Jun,17:00,Fortaleza,Grecia,Costa de Marfil,C,,2014-06-24 17:00:00,,,,
19,Mundial Brasil 2014,2014-06-14 16:00:00,URU,CRC,,,1,0,Fortaleza,,14-Jun,16:00,Fortaleza,Uruguay,Costa Rica,D,,2014-06-14 16:00:00,,,,
20,Mundial Brasil 2014,2014-06-14 18:00:00,ENG,ITA,,,1,0,Manaos,,14-Jun,18:00,Manaos,Inglaterra,Italia,D,,2014-06-14 18:00:00,,,,
21,Mundial Brasil 2014,2014-06-19 16:00:00,URU,ENG,,,2,0,Sao Paulo,,19-Jun,16:00,Sao Paulo,Uruguay,Inglaterra,D,,2014-06-19 16:00:00,,,,
22,Mundial Brasil 2014,2014-06-20 13:00:00,ITA,CRC,,,2,0,Recife,,20-Jun,13:00,Recife,Italia,Costa Rica,D,,2014-06-20 13:00:00,,,,
23,Mundial Brasil 2014,2014-06-24 13:00:00,ITA,URU,,,3,0,Natal,,24-Jun,13:00,Natal,Italia,Uruguay,D,,2014-06-24 13:00:00,,,,
24,Mundial Brasil 2014,2014-06-24 13:00:00,CRC,ENG,,,3,0,Belo Horizonte,,24-Jun,13:00,Belo Horizonte,Costa Rica,Inglaterra,D,,2014-06-24 13:00:00,,,,
25,Mundial Brasil 2014,2014-06-15 13:00:00,SUI,ECU,,,1,0,Brasilia,,15-Jun,13:00,Brasilia,Suiza,Ecuador,E,,2014-06-15 13:00:00,,,,
26,Mundial Brasil 2014,2014-06-15 16:00:00,FRA,HON,,,1,0,Porto Alegre,,15-Jun,16:00,Porto Alegre,Francia,Honduras,E,,2014-06-15 16:00:00,,,,
27,Mundial Brasil 2014,2014-06-20 16:00:00,SUI,FRA,,,2,0,Salvador,,20-Jun,16:00,Salvador,Suiza,Francia,E,,2014-06-20 16:00:00,,,,
28,Mundial Brasil 2014,2014-06-20 19:00:00,HON,ECU,,,2,0,Curitiba,,20-Jun,19:00,Curitiba,Honduras,Ecuador,E,,2014-06-20 19:00:00,,,,
29,Mundial Brasil 2014,2014-06-25 17:00:00,HON,SUI,,,3,0,Manaus,,25-Jun,17:00,Manaus,Honduras,Suiza,E,,2014-06-25 17:00:00,,,,
30,Mundial Brasil 2014,2014-06-25 17:00:00,ECU,FRA,,,3,0,Rio de Janeiro,,25-Jun,17:00,Rio de Janeiro,Ecuador,Francia,E,,2014-06-25 17:00:00,,,,
31,Mundial Brasil 2014,2014-06-15 19:00:00,ARG,BIH,,,1,0,Rio de Janeiro,,15-Jun,19:00,Rio de Janeiro,Argentina,Bosnia y Herzegovina,F,,2014-06-15 19:00:00,,,,
32,Mundial Brasil 2014,2014-06-16 16:00:00,IRN,NIG,,,1,0,Curitiba,,16-Jun,16:00,Curitiba,Irán,Nigeria,F,,2014-06-16 16:00:00,,,,
33,Mundial Brasil 2014,2014-06-21 13:00:00,ARG,IRN,,,2,0,Belo Horizonte,,21-Jun,13:00,Belo Horizonte,Argentina,Irán,F,,2014-06-21 13:00:00,,,,
34,Mundial Brasil 2014,2014-06-21 19:00:00,NIG,BIH,,,2,0,Cuiaba,,21-Jun,19:00,Cuiaba,Nigeria,Bosnia y Herzegovina,F,,2014-06-21 19:00:00,,,,
35,Mundial Brasil 2014,2014-06-25 13:00:00,NIG,ARG,,,3,0,Porto Alegre,,25-Jun,13:00,Porto Alegre,Nigeria,Argentina,F,,2014-06-25 13:00:00,,,,
36,Mundial Brasil 2014,2014-06-25 13:00:00,BIH,IRN,,,3,0,Salvador,,25-Jun,13:00,Salvador,Bosnia y Herzegovina,Irán,F,,2014-06-25 13:00:00,,,,
37,Mundial Brasil 2014,2014-06-16 13:00:00,GER,POR,,,1,0,Salvador,,16-Jun,13:00,Salvador,Alemania,Portugal,G,,2014-06-16 13:00:00,,,,
38,Mundial Brasil 2014,2014-06-16 19:00:00,GHA,USA,,,1,0,Natal,,16-Jun,19:00,Natal,Ghana,EEUU,G,,2014-06-16 19:00:00,,,,
39,Mundial Brasil 2014,2014-06-21 16:00:00,GER,GHA,,,2,0,Fortaleza,,21-Jun,16:00,Fortaleza,Alemania,Ghana,G,,2014-06-21 16:00:00,,,,
40,Mundial Brasil 2014,2014-06-22 18:00:00,USA,POR,,,2,0,Manaos,,22-Jun,18:00,Manaos,EEUU,Portugal,G,,2014-06-22 18:00:00,,,,
41,Mundial Brasil 2014,2014-06-26 13:00:00,USA,GER,,,3,0,Recife,,26-Jun,13:00,Recife,EEUU,Alemania,G,,2014-06-26 13:00:00,,,,
42,Mundial Brasil 2014,2014-06-26 13:00:00,POR,GHA,,,3,0,Brasilia,,26-Jun,13:00,Brasilia,Portugal,Ghana,G,,2014-06-26 13:00:00,,,,
43,Mundial Brasil 2014,2014-06-17 13:00:00,BEL,ALG,,,1,0,Belo Horizonte,,17-Jun,13:00,Belo Horizonte,Bélgica,Argelia,H,,2014-06-17 13:00:00,,,,
44,Mundial Brasil 2014,2014-06-17 19:00:00,RUS,KOR,,,1,0,Cuiaba,,17-Jun,19:00,Cuiaba,Rusia,República de Corea,H,,2014-06-17 19:00:00,,,,
45,Mundial Brasil 2014,2014-06-22 13:00:00,BEL,RUS,,,2,0,Rio de Janeiro,,22-Jun,13:00,Rio de Janeiro,Bélgica,Rusia,H,,2014-06-22 13:00:00,,,,
46,Mundial Brasil 2014,2014-06-22 16:00:00,KOR,ALG,,,2,0,Porto Alegre,,22-Jun,16:00,Porto Alegre,República de Corea,Argelia,H,,2014-06-22 16:00:00,,,,
47,Mundial Brasil 2014,2014-06-26 17:00:00,KOR,BEL,,,3,0,Sao Paulo,,26-Jun,17:00,Sao Paulo,República de Corea,Bélgica,H,,2014-06-26 17:00:00,,,,
48,Mundial Brasil 2014,2014-06-26 17:00:00,ALG,RUS,,,3,0,Curitiba,,26-Jun,17:00,Curitiba,Argelia,Rusia,H,,2014-06-26 17:00:00,,,,
49,Mundial Brasil 2014,2014-06-28 13:00:00,1A,2B,,,4,1,Belo Horizonte,,28-Jun,13:00,Belo Horizonte,1A,2B,Partido 49,,2014-06-28 13:00:00,,,,
50,Mundial Brasil 2014,2014-06-28 17:00:00,1C,2D,,,4,1,Rio de Janeiro,,28-Jun,17:00,Rio de Janeiro,1C,2D,Partido 50,,2014-06-28 17:00:00,,,,
51,Mundial Brasil 2014,2014-06-29 13:00:00,1B,2A,,,4,1,Fortaleza,,29-Jun,13:00,Fortaleza,1B,2A,Partido 51,,2014-06-29 13:00:00,,,,
52,Mundial Brasil 2014,2014-06-29 17:00:00,1D,2C,,,4,1,Recife,,29-Jun,17:00,Recife,1D,2C,Partido 52,,2014-06-29 17:00:00,,,,
53,Mundial Brasil 2014,2014-06-30 13:00:00,1E,2F,,,4,1,Brasilia,,30-Jun,13:00,Brasilia,1E,2F,Partido 53,,2014-06-30 13:00:00,,,,
54,Mundial Brasil 2014,2014-06-30 17:00:00,1G,2H,,,4,1,Porto Alegre,,30-Jun,17:00,Porto Alegre,1G,2H,Partido 54,,2014-06-30 17:00:00,,,,
55,Mundial Brasil 2014,2014-07-01 13:00:00,1F,2E,,,4,1,Sao Paulo,,01-Jul,13:00,Sao Paulo,1F,2E,Partido 55,,2014-07-01 13:00:00,,,,
56,Mundial Brasil 2014,2014-07-01 17:00:00,1H,2G,,,4,1,Salvador,,01-Jul,17:00,Salvador,1H,2G,Partido 56,,2014-07-01 17:00:00,,,,
57,Mundial Brasil 2014,2014-07-04 17:00:00,Ganador P49,Ganador P50,,,5,1,Fortaleza,,04-Jul,17:00,Fortaleza,Ganador P49,Ganador P50,Partido 57,,2014-07-04 17:00:00,,,,
58,Mundial Brasil 2014,2014-07-04 13:00:00,Ganador P53,Ganador P54,,,5,1,Rio de Janeiro,,04-Jul,13:00,Rio de Janeiro,Ganador P53,Ganador P54,Partido 58,,2014-07-04 13:00:00,,,,
59,Mundial Brasil 2014,2014-07-05 17:00:00,Ganador P51,Ganador P50,,,5,1,Salvador,,05-Jul,17:00,Salvador,Ganador P51,Ganador P50,Partido 59,,2014-07-05 17:00:00,,,,
60,Mundial Brasil 2014,2014-07-05 13:00:00,Ganador P55,Ganador P56,,,5,1,Brasilia,,05-Jul,13:00,Brasilia,Ganador P55,Ganador P56,Partido 60,,2014-07-05 13:00:00,,,,
61,Mundial Brasil 2014,2014-07-08 17:00:00,Ganador P57,Ganador P58,,,6,1,Belo Horizonte,,08-Jul,17:00,Belo Horizonte,Ganador P57,Ganador P58,Partido 61,,2014-07-08 17:00:00,,,,
62,Mundial Brasil 2014,2014-07-09 17:00:00,Ganador P59,Ganador P60,,,6,1,Sao Paulo,,09-Jul,17:00,Sao Paulo,Ganador P59,Ganador P60,Partido 62,,2014-07-09 17:00:00,,,,
63,Mundial Brasil 2014,2014-07-12 17:00:00,Perdedor P61,Perdedor P62,,,7,1,Brasilia,,12-Jul,17:00,Brasilia,Perdedor P61,Perdedor P62,Partido 63,3ER Y 4TO LUGAR,2014-07-12 17:00:00,,,,
64,Mundial Brasil 2014,2014-07-13 16:00:00,Ganador P61, ,,,8,1,Rio de Janeiro,,13-Jul,16:00,Rio de Janeiro,Ganador P61,Ganador P62,Partido 64,FINAL,2014-07-13 16:00:00,,,,
